Company Name,NAICS ,Layoff Total, Local Area,WARN Date,Layoff Date(s),Temp Layoffs,Perm Layoffs,Furloughs,Reason for Layoff,WARN Letter,Occupations,,,,
 ,53,3,ADW,8/31/2020,8/31/20,,,3,COVID 19 Extended Furlough,Avis Budget Group,"Account Manager, Analyst Q&A, Local Sales Market Manager",,,,
ABM,56,178,Denver,6/30/2020,4/10/2020,178,,,COVID - Temporary ,ABM,"Various: Supervisor, Administrative Assistant, Shuttle Driver and Bus Attendants",,,,
Airport Management Services & Hudson Group,48,45,Denver,9/8/2020,10/1/20,23,22,,"COVID 19 - 22 permanent, 23 temporary",Airport Mgmt Services & Hudson Group,"Service Associates including stock and warehouse, Supervisors; 22 permanent, 23 Temporary",,,,
Alamo Drafthouse Cinema Littleton - Update,72,87,Arapahoe/Douglas,8/17/2020,8/17/20,72,,,COVID - Temporary ,Alamo Drafthouse Littleton - Update,Not disclosed,,,,
Alamo Drafthouse Cinema Sloans Lake Update,72,87,Denver,8/17/2020,8/17/20,87,,,COVID - Temporary ,Alamo Drafthouse Sloans Lake Update,Not disclosed,,,,
Alamo Drafthouse Cinema Westminster  - Update,72,87,Adams,8/17/2020,8/17/20,87,,,COVID - Temporary ,Alamo Westminster Update,Not disclosed,,,,
Alamo Rent-A-Car,53,67,Denver,4/30/2020,4/3020,67,,,Mass Layoff - Permanent,Alamo Rent-A-Car,"Various: Customer Service Agent, Service Agent, DOT Bus Driver, Exit Booth, Greeter",,,,
Alsco,81,85,Denver,3/20/2020,3/20/20,,,85,Furlough,Alsco,"Production, Route Sales Representatives",,,,
American Airlines,48,109,Denver,7/15/2020,10/1/20,,2,107,"COVID-19 - 2 Permanent, 107 Temporary Fulough",American Airlines,Not Disclosed,,,,
American Pathology Partners and APP-UniPath,62,154,Denver,11/6/2020,1/6/21,,154,,Permanent,American Pathology Partners,"Logistics, histology, accessioning, molecular services, cytology, administration, sales, client relations, hospital services, clinical services",,,,
Ameristar Casino Resort & Spa Black Hawk,72,58,Jefferson,8/28/2020,11/1/20,,58,,COVID - Permanent,Ameristar - Update,Various,,,,
Ameristar Casino Resort Spa,72,117,Gilpin/Jefferson,6/11/2020,9/15/2020,,117,,Mass Layoff- Permanent,Ameristar Casino Resort Spa,Not disclosed,,,,
Anheuser- Busch - Loveland,31,71,Larimer,9/29/2020,12/4/2020,,71,,Sale of Company,Anheuser-Busch,"Various: sales, drivers and more",,,,
Anheuser-Busch - Colo springs,31,59,Pikes Peak,9/29/2020,12/4/2020,,59,,Sale of Company,Anheuser-Busch,"Various: drivers, drivers, merchandiser, and more (see WARN)",,,,
Anheuser-Busch - Denver,31,220,Denver,9/29/2020,12/4/2020,,220,,Sale of Company,Anheuser-Busch,"Various: analysts business development, marketing, driver, mechanics and more (see WARN)",,,,
Anheuser-Busch - Littleton,31,50,Arapahoe/Works,9/29/2020,12/4/2020,,50,,Sale of Company,Anheuser-Busch,"Various: analysts, drivers, sales, warehouse and more (see WARN)",,,,
"Antlers, a Wyndham Hotel",72,28,Pikes Peak,9/10/2020,9/10/20,20,8,,"COVID 19 - 8 permanent, 20 temporary",Antlers Wyndham Hotel,"Sales admin, barista, line cook, restaruant manager, security officer, bartender, valet gift shop attendant, server, steward and others. 288 permanent, 20 temporary ",,,,
Aqua Hot Heating Systems,33,10,Weld,4/13/2020,3/26/20,,,10,Furlough,Aqua,Various ,,,,
Arabelle at Vail Square,72,17,Rural Resort,5/4/2020,Not available,17,,,COVID - Temporary ,Arabelle,17 EMPLOYEES TOTALING 99,,,,
Aramark at Coors Field ,72,71,Denver,10/16/2020,Unknown,71,,,COVID-Temporary,Aramark Coors Field,Various,,,,
Aramark at Mission Ballroom,72,904,Denver,10/16/2020,Unknown,904,,,COVID-Temporary,Aramark Mission Ballroom,Various,,,,
Arapahoe Fitness LLC,71,97,Arapahoe/Dougless,3/31/2020,3/31/20,,,97,Furlough,Arapahoe Fitness,"Managers, Trainers, Front Desk, Member Sales, Instuctors",,,,
Arrabelle at Vail Square,72,82,Rural Consortium,4/6/2020,4/6/20,82,,,COVID-19 Temporary Closure,Arrabelle at Vail,Unspecified ,,,,
Aurora Health & Fitness,71,52,Arapahoe/Dougless,3/31/2020,3/31/20,,,52,Furlough,Aurora Health & Fitness,"Managers, Trainers, Front Desk, Member Sales, Instuctors",,,,
Avis Budget Group (ADW - Englewood),53,2,ADW,8/31/2020,8/31/20,,,2,COVID 19 Extended Furlough,Avis Budget Group,Technicians,,,,
Avis Budget Group (Denver),53,2,Denver ,8/31/2020,8/31/20,,,2,COVID 19 Extended Furlough,Avis Budget Group,"Sales Performance Manager, Territority Performance Manager",,,,
